Line,Station,Lon,Lat
153.3,30.0,-111.0241,22.4541
153.3,40.0,-111.6445,22.1207
153.3,50.0,-112.2634,21.7874
153.3,60.0,-112.8808,21.4541
153.3,70.0,-113.4967,21.1207
153.3,80.0,-114.1113,20.7874
153.3,90.0,-114.7245,20.4541
156.7,10.0,-109.4295,22.5318
156.7,20.0,-110.0502,22.1985
156.7,30.0,-110.6694,21.8652
156.7,40.0,-111.2871,21.5318
156.7,50.0,-111.9034,21.1985
156.7,60.0,-112.5183,20.8652
156.7,70.0,-113.1319,20.5318
156.7,80.0,-113.744,20.1985
156.7,90.0,-114.3549,19.8652
